Indicador 3.9.3 - Taxa de mortalidade atribuída a intoxicação não intencional;;;;;;;;;;;;;;;;;;;;
Taxa de mortalidade atribuída a intoxicação não intencional (Óbitos por 100 000 habitantes);;;;;;;;;;;;;;;;;;;;
"Brasil, Grandes Regiões e Unidades da Federação";2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
Maranhão;"0,22";"0,2";"0,16";"0,24";"0,43";"0,27";"0,15";"0,17";"0,2";"0,28";"0,18";"0,24";"0,18";"0,19";"0,14";"0,17";"0,17";"0,2";"0,14";"0,1"
Piauí;"0,1";"0,1";"0,13";"0,26";"0,26";"0,23";"0,13";"0,16";"0,25";"0,09";"0,09";"0,12";"0,19";"0,31";"0,19";"0,22";"0,28";"0,15";"0,12";"0,24"
Ceará;"0,09";"0,14";"0,23";"0,07";"0,05";"0,1";"0,17";"0,13";"0,07";"0,07";"0,15";"0,1";"0,11";"0,12";"0,09";"0,11";"0,12";"0,09";"0,08";"0,07"
Rio Grande do Norte;"0,1";"0,03";"0,1";"0,03";"0,1";0;"0,06";"0,09";"0,06";"0,03";"0,03";"0,06";0;"0,09";0;0;"0,03";"0,03";0;0
Paraíba;"0,06";"0,08";"0,11";"0,08";"0,11";"0,08";"0,11";"0,18";"0,03";"0,08";0;"0,15";"0,05";"0,1";"0,1";"0,05";"0,05";"0,13";"0,1";"0,07"
Pernambuco;"0,09";"0,1";"0,13";"0,05";"0,1";"0,14";"0,21";"0,16";"0,1";"0,02";"0,06";"0,13";"0,07";"0,06";"0,03";"0,06";"0,05";"0,06";"0,06";"0,25"
Alagoas;"0,27";"0,34";"0,33";"0,16";"0,13";"0,13";"0,1";"0,06";"0,03";"0,06";"0,03";"0,09";"0,06";"0,12";"0,09";"0,12";0;"0,06";"0,03";"0,06"
Sergipe;"0,32";"0,05";"0,16";"0,1";"0,25";"0,2";"0,3";"0,05";0;"0,09";0;"0,09";"0,05";"0,14";"0,09";"0,04";"0,04";0;"0,22";"0,22"
Bahia;"0,13";"0,04";"0,05";"0,05";"0,06";"0,01";"0,04";"0,04";"0,09";"0,17";"0,16";"0,17";"0,14";"0,07";"0,12";"0,14";"0,12";"0,03";"0,09";"0,09"
Sudeste;"0,1";"0,06";"0,07";"0,06";"0,04";"0,12";"0,1";"0,07";"0,09";"0,11";"0,07";"0,1";"0,17";"0,34";"0,35";"0,22";"0,25";"0,28";"0,26";"0,38"
Minas Gerais;"0,11";"0,13";"0,12";"0,13";"0,08";"0,2";"0,17";"0,06";"0,11";"0,11";"0,06";"0,07";"0,09";"0,1";"0,1";"0,1";"0,15";"0,14";"0,22";"0,31"
Espírito Santo;"0,09";"0,18";"0,09";"0,09";"0,03";"0,15";"0,26";"0,06";"0,25";"0,36";"0,27";"0,11";"0,16";"0,21";"0,42";"0,31";"0,28";"0,4";"0,22";"0,2"
Rio de Janeiro;"0,19";"0,07";"0,06";"0,06";"0,06";"0,06";"0,05";"0,04";"0,03";"0,1";"0,06";"0,14";"0,25";"0,53";"0,63";"0,6";"0,8";"0,91";"0,64";"1,17"
São Paulo;"0,05";"0,02";"0,05";"0,02";"0,02";"0,1";"0,06";"0,08";"0,09";"0,09";"0,07";"0,09";"0,18";"0,39";"0,35";"0,12";"0,09";"0,1";"0,13";"0,14"
Sul;"0,1";"0,11";"0,12";"0,15";"0,06";"0,1";"0,12";"0,09";"0,09";"0,09";"0,09";"0,13";"0,15";"0,11";"0,09";"0,09";"0,12";"0,14";"0,12";"0,08"
Paraná;"0,08";"0,14";"0,12";"0,18";"0,06";"0,12";"0,14";"0,1";"0,09";"0,1";"0,08";"0,11";"0,06";"0,08";"0,05";"0,05";"0,1";"0,19";"0,15";"0,07"
Santa Catarina;"0,07";"0,09";"0,17";"0,19";"0,05";"0,05";"0,11";"0,11";"0,08";"0,14";"0,11";"0,18";"0,11";"0,19";"0,1";"0,09";"0,17";"0,13";"0,08";"0,03"
Rio Grande do Sul;"0,12";"0,1";"0,08";"0,1";"0,07";"0,11";"0,1";"0,07";"0,09";"0,05";"0,08";"0,13";"0,25";"0,1";"0,13";"0,13";"0,11";"0,09";"0,11";"0,12"
Centro-Oeste;"0,14";"0,2";"0,21";"0,25";"0,22";"0,24";"0,13";"0,19";"0,23";"0,21";"0,22";"0,25";"0,13";"0,22";"0,19";"0,2";"0,16";"0,21";"0,09";"0,14"
Mato Grosso do Sul;"0,23";"0,18";"0,09";"0,18";"0,43";"0,21";"0,08";"0,33";"0,41";"0,28";"0,28";"0,35";"0,23";"0,23";"0,38";"0,41";"0,29";"0,22";"0,11";"0,07"
Mato Grosso;"0,15";"0,34";"0,33";"0,36";"0,11";"0,14";"0,17";"0,17";"0,2";"0,16";"0,1";"0,22";"0,09";"0,15";"0,09";"0,09";"0,12";"0,15";"0,06";"0,14"
Goiás;"0,11";"0,17";"0,22";"0,22";"0,12";"0,1";"0,05";"0,19";"0,15";"0,13";"0,19";"0,25";"0,12";"0,25";"0,15";"0,21";"0,12";"0,27";"0,1";"0,17"
Distrito Federal;"0,09";"0,14";"0,18";"0,26";"0,38";"0,7";"0,32";"0,08";"0,27";"0,38";"0,37";"0,18";"0,11";"0,21";"0,21";"0,14";"0,2";"0,1";"0,07";"0,13"
