"Indicador 3.7.2 - Número de nascidos vivos de mães adolescentes (grupos etários 10-14 e 15-19), por 1 000 mulheres destes grupos etários";;;;;;;;;;;;;;;;;;;
"Mães adolescentes de 10 a 19 anos, por 1 000 mulheres destes grupos etários";;;;;;;;;;;;;;;;;;;
"Brasil, Grande Região e Unidades da Federação";2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018
Piauí;"47,5";"47,5";46;"44,9";"44,9";"46,5";"44,5";"43,4";"40,5";"37,8";"36,3";"35,4";"34,5";"33,4";"35,4";"36,5";"34,8";"34,6";34
Ceará;"39,7";"40,6";"38,2";"37,5";"37,1";"37,2";"35,4";"34,6";"33,4";"32,8";"31,1";"31,7";"32,1";"32,1";"33,6";"33,2";"31,7";"30,7";30
Rio Grande do Norte;"45,3";"43,8";"41,7";"40,5";"39,8";"41,2";"36,7";36;"36,4";"33,9";"33,1";"33,8";"33,6";34;"33,9";"33,6";"31,6";"30,2";29
Paraíba;"37,1";"40,3";"39,6";"39,1";"38,9";"40,1";38;"36,4";"36,8";"35,3";"33,3";"34,2";"33,4";"33,6";"33,5";"34,3";"32,2";"31,9";"31,8"
Pernambuco;"46,6";"46,1";"42,9";"41,4";"41,5";"42,6";"40,4";"39,5";"39,2";"37,5";"35,1";"36,4";"37,5";"37,4";38;"37,3";"34,2";34;"32,6"
Alagoas;"51,3";"52,6";"49,9";"49,7";"46,8";"48,1";"45,8";"45,6";"44,5";"41,2";"40,3";"41,9";"41,9";"43,3";"42,2";"42,9";"39,3";"39,9";"39,4"
Sergipe;46;"43,3";"40,4";"40,4";"38,6";"40,6";"39,7";"37,5";"37,1";"33,8";"33,7";"35,8";"35,8";37;"37,1";"38,6";"35,1";35;"33,9"
Bahia;41;"40,6";"40,6";"41,2";"40,8";"40,7";"38,4";"37,7";"36,6";"35,4";34;"35,2";"34,2";"33,3";33;33;"32,3";"32,1";31
Sudeste;"37,6";"35,2";"33,2";"31,7";"31,2";"31,4";"30,4";"29,6";"28,9";"27,9";"27,1";"27,7";"28,3";"28,7";"29,2";"28,6";"26,2";"25,4";24
Minas Gerais;"33,5";33;"30,4";"29,5";"28,8";"29,4";"28,4";"27,8";"27,1";"25,5";"25,2";"25,4";"25,6";26;"26,6";"26,3";"24,1";24;"23,2"
Espírito Santo;"40,9";"40,5";"37,2";"35,1";"34,9";"34,5";34;"33,1";"32,1";"30,8";30;"30,1";"31,2";"32,7";"33,7";"32,4";"29,6";"28,5";"27,4"
Rio de Janeiro;"42,8";"39,6";37;"35,8";"34,8";"33,8";33;"32,4";"31,3";"30,5";"29,6";31;"32,3";33;"33,9";"33,7";"30,8";"30,6";"28,8"
São Paulo;"37,6";"34,2";"32,9";31;"30,8";"31,2";"30,2";"29,2";"28,5";"27,9";"26,8";"27,3";"27,9";"28,1";"28,3";"27,5";"25,2";"23,9";"22,2"
Sul;"39,5";"36,4";"34,6";"32,2";"32,5";"32,2";31;"29,1";"29,1";"28,5";28;"28,2";"28,9";"29,6";"29,9";"29,2";"26,8";"25,5";"24,2"
Paraná;"42,4";"39,6";"37,7";"34,8";"35,1";"35,5";34;32;32;"32,2";"31,7";"31,4";"31,9";"32,9";"33,2";32;"28,9";"27,5";26
Santa Catarina;"36,8";"33,6";"31,6";"29,5";"29,8";"28,9";"28,5";"27,8";"27,9";"26,4";"26,2";"26,9";"27,3";"27,8";"28,2";"28,4";26;"24,8";"23,6"
Rio Grande do Sul;"38,2";"34,8";"33,1";"31,2";"31,4";"30,7";"29,3";"26,9";"26,7";"25,9";"25,2";"25,5";"26,6";"27,1";"27,4";"26,9";"25,2";"23,8";"22,6"
Centro-Oeste;"49,3";"46,9";"44,4";"42,6";"42,4";"41,9";39;"36,6";"36,3";"34,8";"33,8";"34,3";"35,2";"35,7";"36,8";"35,2";"32,5";"31,2";30
Mato Grosso do Sul;"52,2";"50,1";"48,4";"45,5";"46,5";"46,3";"42,9";"41,1";"42,7";"41,4";"40,1";"42,1";"42,7";"42,4";"44,6";"41,6";"38,6";"38,3";"36,6"
Mato Grosso;"53,8";"51,2";"48,1";"48,2";"48,9";"48,7";"44,6";"41,2";"41,1";39;"38,4";"38,9";"40,4";"41,2";"42,5";"40,9";"37,2";"37,1";36
Goiás;48;"45,6";"43,5";"40,7";40;"39,4";"36,9";"34,7";34;"32,8";"31,7";32;"33,3";"34,3";"35,3";"34,2";"31,9";"29,4";"28,3"
Distrito Federal;"43,8";"41,1";38;"36,9";"35,2";"34,5";"32,9";"30,5";29;"27,2";"26,8";"26,1";"26,2";"26,2";"25,9";"24,9";"22,6";"21,8";21
